nbr_delin_id,var_delin_nombre,var_delin_pandilla,var_delin_apodo,var_delin_status
1,Amanda Keith,East,berry,Activo
2,Vickie Parks,West,murray,Activo
3,Mark Lawrence,Lake,rivera,Activo
4,Chad Thompson,New,smith-brown,Activo
5,Ashley Woods,East,riley,Activo
6,Timothy Benson,Lake,shields,Activo
7,Ms. Deborah Ramirez,New,mcgee,Activo
8,Jillian Gibson,Port,gilbert,Activo
9,Patrick Brown,South,fry-osborne,Activo
10,Lori Russell,Lake,carter,Activo
11,Robin Freeman,Port,gonzalez,Activo
12,Sean Espinoza,New,morgan-zhang,Activo
13,Jeremy Higgins,West,steele,Activo
14,Tina Owens,Port,griffin,Activo
15,Gary Lyons,New,holmes-hansen,Activo
16,Tammy Johnson,West,obrien,Activo
17,Kevin Davis,North,hill,Activo
18,Brianna Marsh,New,cunningham-parker,Activo
19,Jennifer Lewis,New,thomas,Activo
20,Joseph West,East,russo,Activo
21,Tammy Hill,East,smith,Activo
22,Megan Compton,West,moore,Activo
23,Colleen Jenkins,East,henry,Activo
24,Robert Baker,New,lang-stone,No Activo
25,Jeremy Murphy,East,long,Activo
26,Charles Curry,West,porter-terry,Activo
27,Tom Foster,New,richards,Activo
28,Reginald Ford,Port,mccarty-castro,Activo
29,Jennifer Thompson,South,perry,Activo
30,Kristen Williams,West,turner,Activo
31,Morgan Crane,North,anderson-griffin,Activo
32,Amber Young,South,hines,Activo
33,Katherine Holmes,South,hart,Activo
34,Ashley Parker,Lake,miller,Activo
35,Lauren Martinez,South,austin,Activo
36,Bailey Moreno,Port,jones-macias,Activo
37,Daniel Davis,Lake,holmes,Activo
38,Jeffery Baker,Lake,henderson-joyce,Activo
39,Dana Baker,South,holmes,Activo
40,Jennifer Richardson,West,bullock,Activo
41,Christopher Hogan,East,thompson,Activo
42,Samantha Hughes,East,sanders,Activo
43,Kristina Duncan MD,Lake,logan,Activo
44,Valerie Francis,New,wilson-bailey,Activo
45,Vanessa Ibarra,Lake,conley-cochran,Activo
46,Carolyn Miller,Lake,patton-johnson,Activo
47,Lisa Olson,South,wilson-rice,Activo
48,Timothy Vasquez,Lake,wong,Activo
49,Tracy Larsen,New,petersen,Activo
50,Thomas Santiago,Port,morgan,Activo
51,Kaitlyn Kennedy,West,webb,Activo
52,Timothy Yoder,North,chen-ramos,Activo
53,Taylor Jackson,New,montgomery,Activo
54,Mitchell Spence,West,murphy,Activo
55,Jaime Vasquez,East,winters,Activo
56,Jeffery Shaw,New,cook,Activo
57,Patrick Fischer,East,henson-adams,Activo
58,Randall Morales,West,beard,Activo
59,Kevin Martinez,Lake,nguyen-benson,Activo
60,Russell Mercer,New,ruiz-santiago,Activo
61,Jessica Curtis,Lake,wheeler-sanchez,Activo
62,Charles Moore,Lake,smith,Activo
63,Robert Jennings,East,sexton-campos,Activo
64,Angela Mendez,West,lindsey,Activo
65,Jessica Chapman,South,howard,Activo
66,Cassie Jackson,Lake,martin-greene,Activo
67,Frederick James,Lake,sanchez-walker,Activo
68,Chelsea Townsend,Port,frazier-foster,Activo
69,Heidi Maddox,South,cooper-larsen,Activo
70,Mary Howard,East,newton,Activo
71,Stephanie Stewart,New,wright-mcknight,Activo
72,Jerry Goodman,North,simmons,Activo
73,Regina Graham,East,hays,Activo
74,Dalton Rodriguez DDS,New,jones-allen,Activo
75,Kathleen Thompson,East,swanson,Activo
76,Jennifer Cameron,West,chavez-whitehead,Activo
77,Linda Fitzpatrick,Lake,smith,No Activo
78,Karina Snyder,North,mann,Activo
79,Allison Gray,East,rodriguez-cervantes,Activo
80,Joseph Brown,Port,garner,Activo
81,Daniel Luna,West,soto,Activo
82,Stephanie Huff,North,bailey,Activo
83,Jasmine Hernandez,North,villarreal-torres,Activo
84,Sarah Jackson,Port,lane,Activo
85,William Johnson,West,johnson,Activo
86,Nancy Oneal,Port,weaver,Activo
87,Juan Lewis,New,montes-lopez,Activo
88,Adam Johnson,East,holt-brewer,No Activo
89,Adrienne Gray,East,chambers,Activo
90,Jane Reed,New,miller,Activo
